"longitude","latitude"
-122.23828,47.6933
-122.23856,47.69504
-122.23903,47.69812
-122.23931,47.6998
-122.2402,47.70497
-122.24051,47.70673
-122.13515,47.46277
-122.24079,47.70864
-122.24103,47.71019
-122.24128,47.71171
-122.13642,47.46666
-122.24165,47.71367
-122.137,47.46863
-122.24192,47.71536
-122.13762,47.47073
-122.2422,47.71697
-122.13825,47.47262
-122.24248,47.7187
-122.13874,47.4742
-122.24281,47.72049
-122.13934,47.47609
-122.24302,47.72209
-122.1398,47.47779
-122.14043,47.47975
-122.24336,47.72401
-122.141,47.48165
-122.24364,47.72571
-122.24391,47.72722
-122.1417,47.48375
-122.24417,47.72871
-122.24445,47.73052
-122.24474,47.73207
-122.24501,47.73358
-122.2453,47.73541
-122.24563,47.7372
-122.24597,47.73898
-122.14565,47.49673
-122.24607,47.73979
-122.24621,47.74048
-122.14628,47.4986
-122.24652,47.74237
-122.14682,47.50049
-122.24684,47.74411
-122.1474,47.50232
-122.247,47.74503
-122.24713,47.74588
-122.14799,47.50415
-122.24741,47.7475
-122.14853,47.506
-122.24783,47.74951
-122.14902,47.50749
-122.24811,47.75114
-122.14964,47.50955
-122.24837,47.75258
-122.15022,47.51135
-122.24861,47.75403
-122.15086,47.51345
-122.24889,47.75561
-122.15149,47.51541
-122.24913,47.75711
-122.24945,47.75855
-122.24975,47.76054
-122.25008,47.76232
-122.25043,47.76416
-122.25072,47.76595
-122.25107,47.76772
-122.25142,47.76967
-122.25177,47.77144
-122.25206,47.77307
-122.25236,47.77478
-122.25262,47.77642
-122.25297,47.77824
-122.25311,47.77899
-122.25325,47.77982
-122.25359,47.78165
-122.25382,47.78322
-122.25414,47.78494
-122.25449,47.78691
-122.25483,47.78856
-122.2551,47.7903
-122.25544,47.79206
-122.25572,47.79379
-122.25607,47.79565
-122.25642,47.79742
-122.25675,47.79927
-122.25737,47.80298
-122.25769,47.80459
-122.16763,47.5676
-122.25799,47.80609
-122.25832,47.80808
-122.16879,47.5713
-122.25861,47.80971
-122.16938,47.57317
-122.25896,47.81148
-122.16987,47.57485
-122.25924,47.81324
-122.1705,47.5769
-122.25964,47.81529
-122.17113,47.57877
-122.25991,47.81699
-122.26025,47.81859
-122.26053,47.82024
-122.17298,47.58481
-122.2608,47.82202
-122.17353,47.58668
-122.26114,47.82391
-122.26142,47.82544
-122.26178,47.8274
-122.26204,47.82893
-122.26227,47.82996
-122.1758,47.59378
-122.26245,47.83099
-122.17635,47.59561
-122.26276,47.83294
-122.1769,47.59749
-122.26314,47.83479
-122.17748,47.59934
-122.26347,47.83675
-122.26376,47.83859
-122.2641,47.8402
-122.26437,47.84212
-122.26466,47.84378
-122.1804,47.60866
-122.26506,47.84569
-122.18088,47.61026
-122.2654,47.84766
-122.26565,47.84942
-122.18204,47.61392
-122.18253,47.61557
-122.26607,47.85146
-122.18321,47.61768
-122.26635,47.85323
-122.18381,47.61954
-122.26664,47.85498
-122.18438,47.62148
-122.26699,47.85691
-122.26733,47.85869
-122.26767,47.86057
-122.26797,47.86245
-122.18684,47.62927
-122.26829,47.86404
-122.1874,47.63109
-122.26861,47.8658
-122.18788,47.63255
-122.26891,47.86761
-122.18846,47.63444
-122.26925,47.86949
-122.26959,47.87132
-122.18974,47.63855
-122.26987,47.87311
-122.19029,47.64044
-122.27009,47.87451
-122.1909,47.6423
-122.27042,47.87631
-122.19149,47.64417
-122.27069,47.87782
-122.27083,47.87874
-122.19198,47.6458
-122.27097,47.87952
-122.27131,47.88116
-122.19255,47.64766
-122.19311,47.64947
-122.27158,47.88304
-122.19372,47.65128
-122.27193,47.88469
-122.2722,47.88634
-122.19431,47.65324
-122.27255,47.88838
-122.19501,47.65539
-122.27289,47.89027
-122.19557,47.65727
-122.27316,47.89192
-122.19621,47.6593
-122.19681,47.66116
-122.19734,47.66288
-122.19791,47.66487
-122.27438,47.89876
-122.19839,47.66643
-122.19896,47.66814
-122.27494,47.90207
-122.27523,47.9037
-122.27558,47.9056
-122.20072,47.67389
-122.27584,47.90735
-122.20141,47.67604
-122.20189,47.67755
-122.27618,47.90941
-122.20248,47.67941
-122.27653,47.91119
-122.20318,47.68169
-122.20367,47.68332
-122.27748,47.91626
-122.20429,47.6852
-122.2048,47.6869
-122.20539,47.68881
-122.20594,47.69046
-122.20642,47.69216
-122.20713,47.69444
-122.27952,47.92478
-122.27994,47.92646
-122.20773,47.69632
-122.20832,47.69821
-122.20889,47.70012
-122.20952,47.70198
-122.21022,47.70422
-122.21082,47.70612
-122.2113,47.70772
-122.21184,47.70953
-122.21246,47.71143
-122.21304,47.7133
-122.21424,47.71707
-122.21544,47.72089
-122.21593,47.72261
-122.21663,47.72475
-122.2172,47.72662
-122.21783,47.72852
-122.21844,47.73056
-122.21912,47.73267
-122.21973,47.73457
-122.22029,47.73647
-122.22086,47.73834
-122.22146,47.74022
-122.22194,47.74173
-122.22255,47.7436
-122.22318,47.74562
-122.22375,47.74737
-122.22487,47.75114
-122.22551,47.75304
-122.22607,47.75491
-122.22675,47.75697
-122.29617,47.98293
-122.22727,47.75869
-122.22784,47.76059
-122.22839,47.76228
-122.22889,47.76399
-122.22949,47.76585
-122.23008,47.76776
-122.23073,47.76979
-122.23128,47.77167
-122.29987,47.99593
-122.30029,47.99753
-122.2319,47.77359
-122.30079,47.99927
-122.23258,47.77565
-122.30125,48.00087
-122.23306,47.77734
-122.3018,48.0027
-122.23375,47.77945
-122.3022,48.00425
-122.23492,47.7832
-122.30317,48.0076
-122.23551,47.78508
-122.30368,48.00932
-122.23608,47.787
-122.30424,48.01128
-122.2367,47.78885
-122.30473,48.01295
-122.23732,47.79076
-122.2379,47.79262
-122.30571,48.01639
-122.23849,47.79451
-122.30619,48.01808
-122.23903,47.79639
-122.23965,47.79826
-122.2402,47.8
-122.24082,47.80206
-122.24142,47.80393
-122.24192,47.80542
-122.24247,47.80733
-122.24304,47.80919
-122.24361,47.81092
-122.24412,47.81259
-122.31065,48.03376
-122.31113,48.03548
-122.2448,47.81464
-122.18479,47.47829
-122.31168,48.03726
-122.24535,47.81648
-122.24593,47.81827
-122.24652,47.82028
-122.24713,47.82218
-122.31361,48.04414
-122.24769,47.8239
-122.24832,47.82591
-122.24886,47.82774
-122.31464,48.04774
-122.24945,47.82958
-122.24994,47.83121
-122.2505,47.83296
-122.25126,47.83521
-122.25174,47.83676
-122.25243,47.83905
-122.25297,47.8409
-122.25366,47.8429
-122.25428,47.84505
-122.25487,47.84695
-122.25537,47.84853
-122.256,47.85049
-122.25656,47.85221
-122.25716,47.8542
-122.25776,47.85598
-122.25847,47.85826
-122.25902,47.86015
-122.28354,47.78294
-122.31128,48.03549
-122.31671,47.72326
-122.31347,48.04317
-122.18548,47.41576
-122.31459,48.04726
-122.185,47.4213
-122.18493,47.42276
-122.31868,48.06132
-122.32027,48.06683
-122.32072,48.06854
-122.18362,47.43837
-122.18342,47.44098
-122.32336,48.07764
-122.32652,48.08853
-122.32706,48.09046
-122.32769,48.09256
-122.33077,48.10309
-122.33221,48.10808
-122.33324,48.1116
-122.33938,48.13278
-122.17888,47.48882
-122.26877,47.50864
-122.26882,47.51052
-122.26884,47.51285
-122.26896,47.52085
-122.26904,47.52319
-122.26904,47.5253
-122.26911,47.52928
-122.26917,47.53118
-122.26918,47.53308
-122.26932,47.53958
-122.26952,47.54567
-122.26959,47.54947
-122.26966,47.55157
-122.2698,47.55766
-122.26987,47.5614
-122.27007,47.56833
-122.27014,47.57066
-122.27021,47.5719
-122.27023,47.57294
-122.2703,47.57508
-122.27035,47.57739
-122.27044,47.58155
-122.27048,47.58389
-121.8376,47.84178
-121.83543,47.84138
-121.83289,47.84093
-121.83035,47.84047
-121.79588,47.8342
-121.79345,47.83377
-121.791,47.83333
-121.78901,47.83294
-121.75281,47.82633
-121.75014,47.82586
-122.22677,47.82768
-121.74584,47.82507
-121.74345,47.82465
-121.74115,47.82422
-121.73895,47.82381
-121.73161,47.82246
-122.36262,47.74239
-121.71938,47.82024
-121.71671,47.81978
-121.71415,47.8193
-121.71197,47.81888
-122.266,47.37142
-121.70781,47.81813
-121.64879,47.80738
-122.26713,47.42924
-122.2672,47.43138
-122.2672,47.43352
-122.26726,47.43544
-122.26733,47.43718
-122.26733,47.43951
-122.2674,47.44167
-122.26746,47.44382
-122.26746,47.44551
-121.6236,47.8028
-121.62098,47.80235
-122.26762,47.45149
-121.61619,47.80147
-122.26769,47.45358
-121.61372,47.801
-122.26776,47.45638
-122.26781,47.45828
-121.60876,47.80009
-122.26783,47.46019
-122.26788,47.46167
-122.2679,47.46359
-122.2679,47.46592
-122.26794,47.4678
-122.26808,47.47206
-122.26811,47.47393
-122.26815,47.47627
-122.26822,47.47861
-122.26825,47.48305
-122.26836,47.48557
-122.2684,47.48747
-122.2684,47.48961
-122.26847,47.49194
-122.26847,47.49404
-122.26854,47.49618
-122.26856,47.49806
-122.26861,47.50018
-122.26861,47.50228
-122.2687,47.50461
-122.2687,47.5063
-122.27103,47.60719
-122.27114,47.60911
-122.27114,47.61079
-122.27128,47.61521
-122.27131,47.61713
-122.27135,47.61922
-122.27149,47.62555
-122.27156,47.62764
-122.27172,47.63187
-122.27178,47.63379
-122.27179,47.63571
-122.27185,47.63821
-122.27193,47.64015
-122.27213,47.64629
-122.2722,47.64864
-122.27248,47.65906
-122.27255,47.66121
